	{
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.003922, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.003922, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.003922, 0.003922, 0.003922, 0.023529, 0.019608, 0.019608, 0.007843, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.007843, 0.007843, 0.015686, 0.027451, 0.027451, 0.200000, 0.654902, 1.000000, 0.635294, 0.203922, 0.011765, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.003922, 0.015686, 0.015686, 0.196078, 0.964706, 1.000000, 1.000000, 1.000000, 0.964706, 0.000000, 0.000000, 0.011765, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.039216, 0.223529, 0.913725, 1.000000, 1.000000, 0.976471, 0.952941, 1.000000, 0.223529, 0.039216, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.054902, 0.250980, 0.913725, 1.000000, 1.000000, 1.000000, 0.850980, 0.364706, 1.000000, 1.000000, 0.470588, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.003922, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.023529, 0.019608, 0.007843, 0.647059, 0.984314, 0.988235, 1.000000, 1.000000, 0.988235, 0.996078, 0.396078, 0.749020, 0.980392, 0.635294, 0.023529, 0.023529, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.007843, 0.007843, 0.000000, 0.019608, 0.023529, 0.203922, 0.933333, 0.996078, 0.996078, 0.776471, 0.482353, 0.980392, 0.901961, 0.196078, 0.301961, 1.000000, 0.643137, 0.000000, 0.043137, 0.000000, 0.000000, 0.000000, 0.000000, },
