	{
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -125, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -124, -121, -128, -124, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -126, -128, -119, -51, 82, 127, 127, 40, -84, -122, -126, -124, -125, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -121, -110, 57, 126, 127, 127, 127, 127, 127, -99, -124, -125, -125, -127, -125, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -110, 55, 127, 127, 95, -26, 106, 127, 127, 53, -9, -125, -126, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -19, 125, 127, 35, -90, 39, 127, 127, 127, 127, 127, -10, -125, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -125, -111, 90, 127, 127, -35, -1, 124, 100, -1, -31, 116, 125, 121, -21, -128, -120, -122, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -124, -125, -128, -25, 127, 127, -7, -117, 12, 125, -36, -128, -127, -99, 68, 122, 119, -66, -128, -119, -128, -128, -128, -128, },
		{-128, -128, -128, -127, -128, -123, -124, 42, 127, 127, -90, -122, -44, 103, -95, -128, -124, -126, -59, 121, 119, 83, -98, -121, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -125, -128, -89, 127, 127, 78, -107, -120, -128, -128, -128, -128, -128, -128, -127, -47, 124, 122, 42, -118, -128, -128, -128, -128, },
		{-128, -128, -128, -124, -124, -120, -91, 124, 126, 38, -119, -126, -125, -128, -128, -128, -128, -128, -124, -120, 63, 122, 58, -118, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -127, -119, -93, 127, 124, -44, -126, -126, -128, -128, -128, -128, -128, -128, -128, -128, 13, 122, 127, -89, -128, -128, -128, -128, },
		{-128, -128, -128, -125, -120, -122, 9, 124, 122, -83, -124, -125, -128, -128, -128, -128, -128, -128, -128, -128, -87, 126, 127, -86, -128, -128, -128, -128, },
		{-128, -128, -128, -124, -122, -120, 30, 127, 121, -86, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -85, 127, 127, -86, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -120, -120, -26, 127, 122, -33, -128, -128, -128, -128, -128, -128, -128, -126, -127, -128, -86, 126, 127, -81, -128, -128, -128, -128, },
		{-128, -128, -128, -127, -124, -125, -87, 127, 123, 38, -128, -128, -128, -128, -128, -128, -128, -128, -128, -113, 77, 124, 85, -104, -128, -128, -128, -128, },
		{-128, -128, -128, -125, -123, -124, -92, 115, 127, 48, -124, -126, -127, -128, -128, -128, -128, -128, -128, -89, 121, 123, 29, -125, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -126, -125, -128, 46, 125, 127, -95, -125, -128, -128, -128, -128, -128, -128, -95, 89, 120, 62, -113, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -127, -121, -128, 44, 127, 127, -65, -127, -125, -128, -128, -128, -125, -70, 89, 127, 124, -61, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -126, -128, -128, -50, 127, 127, 110, -71, -128, -127, -128, -109, -1, 127, 127, 117, -34, -116, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -125, -125, 30, 127, 127, 114, -26, -8, 95, 99, 127, 127, 79, -48, -128, -128, -128, -126, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -127, -128, -128, -128, -79, 114, 127, 127, 127, 127, 120, 123, 127, 78, -60, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
		{-128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, -128, },
	},

