	{
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.003922, 0.007843, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.023529, 0.011765, 0.007843, 0.011765, 0.000000, 0.007843, 0.007843, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.003922, 0.000000, 0.000000, 0.011765, 0.027451, 0.031373, 0.035294, 0.031373, 0.027451, 0.035294, 0.011765, 0.000000, 0.003922, 0.000000, 0.019608, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.007843, 0.192157, 0.678431, 1.000000, 1.000000, 1.000000, 1.000000, 0.933333, 0.509804, 0.513725, 0.180392, 0.019608, 0.015686, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.011765, 0.000000, 0.619608, 0.988235, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.988235, 0.654902, 0.203922, 0.011765, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.003922, 0.219608, 0.949020, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.937255, 0.203922, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.035294, 0.388235, 0.929412, 0.960784, 0.956863, 0.850980, 0.568627, 0.572549, 0.627451, 0.698039, 1.000000, 1.000000, 0.996078, 1.000000, 1.000000, 0.745098, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.023529, 0.721569, 0.972549, 0.960784, 0.972549, 0.207843, 0.003922, 0.000000, 0.023529, 0.058824, 0.729412, 0.988235, 0.992157, 0.996078, 1.000000, 0.458824, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.184314, 0.878431, 0.980392, 0.960784, 0.847059, 0.113725, 0.000000, 0.023529, 0.023529, 0.082353, 0.811765, 0.976471, 0.984314, 0.976471, 0.792157, 0.278431, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.074510, 0.756863, 0.972549, 0.968627, 0.764706, 0.078431, 0.003922, 0.003922, 0.211765, 0.870588, 0.980392, 0.980392, 0.972549, 0.992157, 0.388235, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.019608, 0.184314, 0.921569, 0.968627, 1.000000, 0.454902, 0.125490, 0.345098, 0.737255, 1.000000, 0.996078, 0.992157, 0.949020, 0.352941, 0.074510, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.015686, 0.078431, 0.756863, 0.976471, 1.000000, 0.411765, 0.776471, 1.000000, 1.000000, 0.992157, 1.000000, 0.858824, 0.168627, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.490196, 0.976471, 0.988235, 0.996078, 1.000000, 1.000000, 1.000000, 0.945098, 0.643137, 0.192157, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.003922, 0.000000, 0.756863, 0.964706, 0.984314, 1.000000, 0.996078, 1.000000, 0.949020, 0.615686, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.470588, 0.968627, 0.992157, 0.980392, 0.992157, 0.945098, 0.611765, 0.031373, 0.015686, 0.015686, 0.011765, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.003922, 0.000000, 0.000000, 0.000000, 0.003922, 0.003922, 0.003922, 0.000000, 0.352941, 0.941176, 0.996078, 0.988235, 0.992157, 1.000000, 0.917647, 0.266667, 0.003922, 0.015686, 0.023529, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.003922, 0.000000, 0.000000, 0.000000, 0.000000, 0.368627, 0.956863, 0.984314, 0.960784, 0.988235, 1.000000, 1.000000, 1.000000, 0.941176, 0.184314, 0.023529, 0.007843, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.003922, 0.000000, 0.000000, 0.015686, 0.007843, 0.886275, 0.968627, 0.972549, 0.796078, 0.380392, 0.827451, 0.988235, 1.000000, 0.976471, 0.349020, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.003922, 0.000000, 0.015686, 0.000000, 0.478431, 0.988235, 0.945098, 0.866667, 0.133333, 0.368627, 1.000000, 1.000000, 0.984314, 0.749020, 0.023529, 0.023529, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.007843, 0.000000, 0.000000, 0.015686, 0.945098, 0.980392, 0.835294, 0.329412, 0.580392, 0.925490, 0.992157, 0.980392, 1.000000, 0.282353, 0.007843, 0.007843, 0.003922, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.003922, 0.007843, 0.007843, 0.254902, 0.976471, 0.976471, 0.996078, 0.988235, 1.000000, 0.988235, 0.996078, 0.996078, 0.843137, 0.125490, 0.031373, 0.023529, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.007843, 0.000000, 0.000000, 0.000000, 0.450980, 0.988235, 0.996078, 1.000000, 1.000000, 1.000000, 1.000000, 0.850980, 0.454902, 0.129412, 0.019608, 0.027451, 0.011765, 0.007843, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.227451, 0.972549, 1.000000, 1.000000, 0.725490, 1.000000, 0.596078, 0.121569, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.007843, 0.015686, 0.007843, 0.000000, 0.023529, 0.000000, 0.000000, 0.015686, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.019608, 0.000000, 0.011765, 0.000000, 0.000000, 0.007843, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.003922, 0.000000, 0.000000, 0.000000, 0.007843, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
	},

